,town_symbol,town_name,location_symbol,ballot_address,ballot_location,bldg_nubmer,street,geocode_address,Latitude,Longitude
0,3000,ירושלים,18,"מגן האלף,1 ",סמינר בית יעקב - עטרת חן,1,מגן האלף,"מגן האלף 1, ירושלים",31.7946846,35.2223086
1,3000,ירושלים,383,"שבטי ישראל,27 ",משרד החינוך,27,שבטי ישראל,"שבטי ישראל 27, ירושלים",31.7837041,35.2245094
3,3000,ירושלים,5,"מגן האלף,3 ","מרכז קהילתי ""אשכולות""",3,מגן האלף,"מגן האלף 3, ירושלים",31.7952002,35.2233701
11,3000,ירושלים,7,"הנביאים,42 ","בי""ס אורט אולייסקי",42,הנביאים,"הנביאים 42, ירושלים",31.7839291,35.2227354
14,3000,ירושלים,21,"אביגדורי,4 ","בי""ס בנות - דחסידי באיאן רוזין",4,אביגדורי,"אביגדורי 4, ירושלים",31.7854573,35.2192902
20,3000,ירושלים,75,"נטר,40 ","בי""ס יסודי בית מרגלית",40,נטר,"נטר 40, ירושלים",31.7953258,35.2246243
25,3000,ירושלים,9,"אהלי יוסף,15 ","בי""ס בית יעקב עזרת תורה",15,אהלי יוסף,"אהלי יוסף 15, ירושלים",31.7963527,35.2161348
30,3000,ירושלים,74,"ירמיהו,5 ",אולפנא צביה לבנות,5,ירמיהו,"ירמיהו 5, ירושלים",31.7920026,35.2117988
35,3000,ירושלים,44,"מן,7 ","ישיבת נעם (לשעבר בי""ס דרור)",7,מן,"מן 7, ירושלים",31.768319,35.21371
41,3000,ירושלים,392,"הטורים,23 ",מנהל קהילתי שלוחת מקור ברוך,23,הטורים,"הטורים 23, ירושלים",31.7890167,35.2102531
42,3000,ירושלים,85,"בן לברט,15 ","ביס ע""ש פולה בן גוריון",15,בן לברט,"בן לברט 15, ירושלים",31.7703911,35.209738
47,3000,ירושלים,222,"ילין דוד,41 ","בי""ס נוות ישראל",41,ילין דוד,"ילין דוד 41, ירושלים",31.786522,35.2138626
51,3000,ירושלים,59,"פישל אהרן,29 ","ת""ת זיכרו תורת משה",29,פישל אהרן,"פישל אהרן 29, ירושלים",31.7945351,35.2202451
54,3000,ירושלים,16,"מלכי ישראל,75 ","בי""ס בית יעקב מרכז",75,מלכי ישראל,"מלכי ישראל 75, ירושלים",31.7904323,35.2106616
60,3000,ירושלים,142,"עזרת תורה,45 ","בי""ס בית יעקב חסידי",45,עזרת תורה,"עזרת תורה 45, ירושלים",31.7989732,35.2158351
66,3000,ירושלים,134,"גדעון,14 ","בי""ס גורן",14,גדעון,"גדעון 14, ירושלים",31.7602609,35.2199615
67,3000,ירושלים,113,"אולשוונגר,48 ",בית רחל מינהל קהילתי-קרית יובל,48,אולשוונגר,"אולשוונגר 48, ירושלים",31.768319,35.21371
70,3000,ירושלים,372,"המ""ג,1 ",תלמוד תורה רוממה,1,"המ""ג","המ""ג 1, ירושלים",31.7904656,35.2001065
75,3000,ירושלים,497,"שד שרת משה,1 ",בניין המכינה,1,שד שרת משה,"שד שרת משה 1, ירושלים",31.7566796,35.1833727
76,3000,ירושלים,130,בית צפפה,"בי""ס תיכון בית צפאפה",,בית צפפה,"בית צפפה, ירושלים",31.7460743,35.2005014
80,3000,ירושלים,375,"הלל,30 ","ביה""ס ניסויי -תיכון",30,הלל,"הלל 30, ירושלים",31.779199,35.2183242
84,3000,ירושלים,65,"נרקיס,11 ",מרכז פדגוגי להוראה,11,נרקיס,"נרקיס 11, ירושלים",31.7788845,35.212915
85,3000,ירושלים,215,"רבי עקיבא,7 ","בי""ס הניסויי יסודי",7,רבי עקיבא,"רבי עקיבא 7, ירושלים",31.7795097,35.2182144
88,3000,ירושלים,90,"הקרן הקיימת,14 ",גמנסיה רחביה,14,הקרן הקיימת,"הקרן הקיימת 14, ירושלים",31.768319,35.21371
91,3000,ירושלים,100,"אלוף שאלתיאל,1 ",בית ברלין ליד בית החייל,1,אלוף שאלתיאל,"אלוף שאלתיאל 1, ירושלים",31.7974497,35.1478788
93,3000,ירושלים,25,"הלל,17 ","מכללה אקדמית דתית ע""ש ליפשיץ",17,הלל,"הלל 17, ירושלים",31.780481,35.2173284
97,3000,ירושלים,398,"שבטי ישראל,22 ",מנהל קהילתי מורשה,22,שבטי ישראל,"שבטי ישראל 22, ירושלים",31.7821301,35.2245963
103,3000,ירושלים,83,"שמעון הצדיק,23 ","בי""ס חב""ד בית חנה",23,שמעון הצדיק,"שמעון הצדיק 23, ירושלים",31.7940672,35.2239883
109,3000,ירושלים,149,"יצחק אלחנן,4 ","בי""ס לאומנויות",4,יצחק אלחנן,"יצחק אלחנן 4, ירושלים",31.7705495,35.2208785
114,3000,ירושלים,280,"הגדוד העברי,22 ","בי""ס סאלד הנרייטה",22,הגדוד העברי,"הגדוד העברי 22, ירושלים",31.7667948,35.2144626
115,3000,ירושלים,92,"אוסישקין,38 ",אוולינה דה רוטשילד תיכון ה',38,אוסישקין,"אוסישקין 38, ירושלים",31.7782185,35.2125542
119,3000,ירושלים,34,"הרב והרבנית קאפח,20 ","בי""ס לדוגמא ע""ש הרב עוזיאל",20,הרב והרבנית קאפח,"הרב והרבנית קאפח 20, ירושלים",31.7800867,35.2097376
126,3000,ירושלים,80,"אהל משה,42 ",לב העיר מנהל קהילתי,42,אהל משה,"אהל משה 42, ירושלים",31.782575,35.213019
128,3000,ירושלים,484,"שיריזלי,6 ",גן בר אילן,6,שיריזלי,"שיריזלי 6, ירושלים",31.782814,35.2138142
131,3000,ירושלים,380,"מנחם מנדל משקלוב,24 ",מועדון גיל הזהב (בניין כללית),24,מנחם מנדל משקלוב,"מנחם מנדל משקלוב 24, ירושלים",31.7865107,35.1742358
132,3000,ירושלים,413,"ישעיהו,7 ","ת""ת אהבת משה",7,ישעיהו,"ישעיהו 7, ירושלים",31.785731,35.2173491
137,3000,ירושלים,3,"זכרון יעקב,5 ","מרכז קהילתי ע""ש יעקב וקרולין",5,זכרון יעקב,"זכרון יעקב 5, ירושלים",31.7958901,35.2008503
138,3000,ירושלים,93,"הרב אבן דנן,30 ",בית ספר בית יעקב הר נוף,30,הרב אבן דנן,"הרב אבן דנן 30, ירושלים",31.7806671,35.1734518
139,3000,ירושלים,385,"החלוץ,47 ","בית ספר ויצ""ו בית הכרם",47,החלוץ,"החלוץ 47, ירושלים",31.7790461,35.1909621
145,3000,ירושלים,11,"שחר,19 ","ממ""ד יסודי קהילתי דרור",19,שחר,"שחר 19, ירושלים",31.768319,35.21371
146,3000,ירושלים,143,"הקבלן,8 ","בי""ס בית יעקב בניין מרכזי",8,הקבלן,"הקבלן 8, ירושלים",31.7879781,35.1753275
153,3000,ירושלים,49,"בן ציון,24 ",בית יעקב גבעת שאול,24,בן ציון,"בן ציון 24, ירושלים",31.7898152,35.1935111
156,3000,ירושלים,6,"סורוצקין,46 ","בי""ס עטרת רחל",46,סורוצקין,"סורוצקין 46, ירושלים",31.7988616,35.208532
164,3000,ירושלים,57,"ויטל חיים,32 ","נועם-ממ""ד תורני לבנים",32,ויטל חיים,"ויטל חיים 32, ירושלים",31.7892195,35.1915322
170,3000,ירושלים,15,"זכרון יעקב,3 ","בי""ס בית יעקב מטרסדורף",3,זכרון יעקב,"זכרון יעקב 3, ירושלים",31.7958538,35.1999624
173,3000,ירושלים,496,"הקבלן,8 ","בי""ס בית יעקב בניין ב'",8,הקבלן,"הקבלן 8, ירושלים",31.7879781,35.1753275
177,3000,ירושלים,126,"ראשון לציון,7 ",מנחת שלמה,7,ראשון לציון,"ראשון לציון 7, ירושלים",31.7934844,35.2012582
182,3000,ירושלים,102,"נג'ארה,27 ",מינהל קהילתי מיתרים,27,נג'ארה,"נג'ארה 27, ירושלים",31.7920865,35.1923265
186,3000,ירושלים,227,"הרב טייב חי,46 ","ממ""ד תורני לבנים הר נוף",46,הרב טייב חי,"הרב טייב חי 46, ירושלים",31.783468,35.1713368
189,3000,ירושלים,82,"הרב טייב חי,46 ","ממ""ד תורני לבנות הר נוף",46,הרב טייב חי,"הרב טייב חי 46, ירושלים",31.783468,35.1713368
192,3000,ירושלים,229,"התומר,5 ","בי""ס יפה נוף",5,התומר,"התומר 5, ירושלים",31.7794768,35.1864753
197,3000,ירושלים,32,"חכמי יוסף,28א","ביה""ס שיח סוד",28א,חכמי יוסף,"חכמי יוסף 28א, ירושלים",31.7632293,35.1905016
204,3000,ירושלים,30,"שד הרצל,137 ","תיכון ע""ש זיו-מרקס",137,שד הרצל,"שד הרצל 137, ירושלים",31.7770087,35.1861425
205,3000,ירושלים,43,"בן ציון,7 ","בית הספר הממ""ד מימון",7,בן ציון,"בן ציון 7, ירושלים",31.7887964,35.1967557
208,3000,ירושלים,157,"בזל,3 ","נועם - בי""ס תורני לבנות",3,בזל,"בזל 3, ירושלים",31.7841416,35.1924115
213,3000,ירושלים,12,"מעגל בית המדרש,8 ","בי""ס ממלכתי בית הכרם",8,מעגל בית המדרש,"מעגל בית המדרש 8, ירושלים",31.7818927,35.1915046
220,3000,ירושלים,55,"תורה ועבודה,2 ","בי""ס בית יעקב היובל",2,תורה ועבודה,"תורה ועבודה 2, ירושלים",31.767771,35.1826199
225,3000,ירושלים,156,"תורה ועבודה,6 ","בי""ס תיכון הימלפרב",6,תורה ועבודה,"תורה ועבודה 6, ירושלים",31.7670665,35.1811179
230,3000,ירושלים,321,"דולצ'ין,21 ","ביה""ס היובל",21,דולצ'ין,"דולצ'ין 21, ירושלים",31.75115,35.169048
233,3000,ירושלים,99,"קוסטה ריקה,17 ","בי""ס אמית כללי טכנולוגי",17,קוסטה ריקה,"קוסטה ריקה 17, ירושלים",31.7550112,35.1721198
238,3000,ירושלים,135,"האייל,72 ","בי""ס השלום (ע""ש יצחק רבין)",72,האייל,"האייל 72, ירושלים",31.7494914,35.1812253
239,3000,ירושלים,101,"החרצית,10 ","בי""ס גואטמלה",10,החרצית,"החרצית 10, ירושלים",31.7580041,35.1642662
240,3000,ירושלים,111,"הרפוב הדומיניקנית,3 ",מועדון יוצאי אתיופיה,3,הרפוב הדומיניקנית,"הרפוב הדומיניקנית 3, ירושלים",31.768319,35.21371
242,3000,ירושלים,10,"אולשוונגר,3 ","בי""ס הניסוי ארגנטינה",3,אולשוונגר,"אולשוונגר 3, ירושלים",31.768319,35.21371
248,3000,ירושלים,132,"בורוכוב,9א",בית זוסמן (מרכז ליקויי שמיעה),9א,בורוכוב,"בורוכוב 9א, ירושלים",31.7681502,35.1755871
249,3000,ירושלים,131,"זנגויל,25 ","בי""ס עמל ליידי דייויס",25,זנגויל,"זנגויל 25, ירושלים",31.7638379,35.1779611
253,3000,ירושלים,19,"המעיין,2 ",מרכז קהילתי - עין כרם,2,המעיין,"המעיין 2, ירושלים",31.7659984,35.1615177
257,3000,ירושלים,377,"דהומיי,7 ","מינהל קהילתי -""גנים""",7,דהומיי,"דהומיי 7, ירושלים",31.7559385,35.1658768
258,3000,ירושלים,26,"הנורית,18 ","בי""ס טל חיים",18,הנורית,"הנורית 18, ירושלים",31.752458,35.172807
261,3000,ירושלים,97,"צ'ילה,8 ",מרכז קהילתי פיליפ לאון,8,צ'ילה,"צ'ילה 8, ירושלים",31.7605238,35.1704658
264,3000,ירושלים,31,"גרינולד,8 ",אולפנא נווה עציון,8,גרינולד,"גרינולד 8, ירושלים",31.768319,35.21371
265,3000,ירושלים,58,"וולטה העלית,12 ","בי""ס תל""י בית וגן (דוד סטון)",12,וולטה העלית,"וולטה העלית 12, ירושלים",31.7580229,35.1783829
272,3000,ירושלים,103,"רקם,2 ","ב""ס השלום כיתות א - ג",2,רקם,"רקם 2, ירושלים",31.753211,35.1875169
274,3000,ירושלים,52,"דהומיי,6 ","ביה""ס ראשית",6,דהומיי,"דהומיי 6, ירושלים",31.756478,35.1660279
277,3000,ירושלים,231,"שטרן אברהם,3 ","מתנ""ס שטרן ע""ש הסנפלד",3,שטרן אברהם,"שטרן אברהם 3, ירושלים",31.7566579,35.1810964
281,3000,ירושלים,200,"קדיש לוז,1 ",מרכז קהילתי רמת שרת,1,קדיש לוז,"קדיש לוז 1, ירושלים",31.7584449,35.1842202
283,3000,ירושלים,29,"שד שרת משה,1 ","בי""ס מנשה אלישר - מרכזי",1,שד שרת משה,"שד שרת משה 1, ירושלים",31.7566796,35.1833727
288,3000,ירושלים,77,"שד דב יוסף,2 ",תיכון אורט ספאניאן,2,שד דב יוסף,"שד דב יוסף 2, ירושלים",31.7528713,35.1988049
289,3000,ירושלים,22,"מרגולין,3 ","בי""ס יסודי גבעת גונן",3,מרגולין,"מרגולין 3, ירושלים",31.7546358,35.1945382
292,3000,ירושלים,8,"בר יוחאי,53 ","בי""ס קדמה",53,בר יוחאי,"בר יוחאי 53, ירושלים",31.7531236,35.1984237
293,3000,ירושלים,67,"רבי צדוק,12 ","בי""ס חט""ב גונן (ע""ש רפפורט",12,רבי צדוק,"רבי צדוק 12, ירושלים",31.7545413,35.1936216
296,3000,ירושלים,76,"בעהם אריה,7 ","בי""ס יד-ביד דו לשוני",7,בעהם אריה,"בעהם אריה 7, ירושלים",31.7511948,35.1995192
297,3000,ירושלים,491,"ש פת,3 ","בי""ס יראת השם",3,ש פת,"ש פת 3, ירושלים",31.7568692,35.1983169
298,3000,ירושלים,96,"יוחנן בן זכאי,33 ","אולפנא לאומניות לשעברבי""ס מצדה",33,יוחנן בן זכאי,"יוחנן בן זכאי 33, ירושלים",31.768319,35.21371
304,3000,ירושלים,107,"יהודה הנשיא,26 ","בי""ס תיכון דנמרק",26,יהודה הנשיא,"יהודה הנשיא 26, ירושלים",31.7545654,35.2036412
308,3000,ירושלים,50,"אליעזר הגדול,4 ","מרכז לקשיש ע""ש הופמן",4,אליעזר הגדול,"אליעזר הגדול 4, ירושלים",31.7543888,35.2051869
